id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,norm_cpu
14027,44000.0,2025 07 03T12:39:29.000Z,ZERALDA,,THINKPAD,,6TH GEN INTEL CORE I5 6300U,8GB,256GB,,14.0,,1920x1080 FHD,,6th gen i5 6300u
14028,44000.0,2024 11 29T14:38:17.000Z,HUSSEIN DEY,,,,6TH GEN INTEL CORE I5 6200U,,,,,,,,6th gen i5 6200u
14029,44000.0,2025 07 28T18:28:40.000Z,ANNABA,BON TAT,ELITEBOOK,,6TH GEN INTEL CORE I5,8GB,256GB,,14.0,,,,6th gen i5
14030,44000.0,2025 07 20T21:01:15.000Z,EL OUED,BON TAT,LATITUDE,,5TH GEN INTEL CORE I7,8GB,256GB,,,,,,5th gen i7
14031,44000.0,2025 02 04T22:08:32.000Z,BABA HASSEN,JAMAIS UTILIS,,,5TH GEN INTEL CORE I5 5005U,4GB,256GB,500GB,15.6,,1920x1080 FHD,,5th gen i5 5005u
14032,44000.0,2025 07 31T13:36:42.000Z,EZZOUAR,BON TAT,IDEAPAD,,10TH GEN INTEL CORE I5 1035G1,4GB,256GB,,15.0,,1920x1080,,10th gen i5 1035g1
14033,44000.0,2024 09 29T13:27:03.000Z,BOUMERDES,,PROBOOK,,10TH GEN INTEL CORE I3 10110U,8GB,128GB,,14.0,,1920x1080,DDR4,10th gen i3 10110u
14034,43900.0,2025 07 24T10:25:29.000Z,EZZOUAR,BON TAT,THINKPAD,,INTEL CORE I5 6200U,8GB,,500GB,15.6,,1920x1080 FHD,,i5 6200u
14035,43900.0,2024 11 20T05:35:33.000Z,ORAN,BON TAT,ELITEBOOK,,INTEL CORE I5 4200U,8GB,64GB,500GB,14.0,,,,i5 4200u
14036,43900.0,2025 02 08T15:00:46.000Z,ORAN,JAMAIS UTILIS,,,INTEL CORE I3 5005U,4GB,128GB,,15.6,,,LPDDR4,i3 5005u
14037,43900.0,2025 02 12T22:35:36.000Z,HENNAYA,BON TAT,THINKPAD,,6TH GEN INTEL CORE I5 6200U,8GB,256GB,,14.0,,,,6th gen i5 6200u
14038,43800.0,2025 03 06T10:14:51.000Z,ALGER CENTRE,,THINKPAD,,INTEL CORE I5 6300,8GB,256GB,,14.0,,,,i5 6300
