id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,mapped_cpu_name,match_score,cores,cpu_mark,tdp,gpu_name,match_type
8176,92000.0,2025 03 10T09:48:59.000Z,EZZOUAR,,LATITUDE,,12TH GEN INTEL CORE I5 1245U,16GB,512GB,,14.0,,1920x1080 FHD,,Intel Core i5-1245U,100.0,2,"12,945",15.0,Intel UHD Graphics,fuzzy
8177,92000.0,2025 03 22T22:09:43.000Z,ALGER CENTRE,JAMAIS UTILIS,ELITEBOOK,,12TH GEN INTEL CORE I5 1245U,16GB,256GB,,14.0,,1920x1080,DDR4X,Intel Core i5-1245U,100.0,2,"12,945",15.0,Intel UHD Graphics,fuzzy
8178,92000.0,2024 12 14T08:34:05.000Z,EZZOUAR,BON TAT,ELITEBOOK,,12TH GEN INTEL CORE I5 1245U,16GB,256GB,,14.0,,,,Intel Core i5-1245U,100.0,2,"12,945",15.0,Intel UHD Graphics,fuzzy
8179,92000.0,2024 09 23T10:16:33.000Z,EZZOUAR,,SURFACE,,12TH GEN INTEL CORE I5 1245U,16GB,256GB,,13.0,,,,Intel Core i5-1245U,100.0,2,"12,945",15.0,Intel UHD Graphics,fuzzy
8180,92000.0,2025 08 07T12:28:47.000Z,EZZOUAR,,,,12TH GEN INTEL CORE I5 1240P,16GB,512GB,,14.0,,,,Intel Core i5-1240P,100.0,4,"16,145",28.0,Intel UHD Graphics 730,fuzzy
8181,92000.0,2025 08 10T15:00:17.000Z,EZZOUAR,BON TAT,GALAXY,,12TH GEN INTEL CORE I5 1240P,8GB,256GB,,13.0,,1920x1080 FHD,,Intel Core i5-1240P,100.0,4,"16,145",28.0,Intel UHD Graphics 730,fuzzy
8182,92000.0,2024 10 30T12:48:02.000Z,EZZOUAR,BON TAT,LATITUDE,,12TH GEN INTEL CORE I5 1235U,16GB,256GB,,14.0,,1920x1080 FHD,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8183,92000.0,2025 08 05T08:20:32.000Z,EZZOUAR,BON TAT,INSPIRON,,12TH GEN INTEL CORE I5 1235U,16GB,512GB,,15.0,,,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8184,92000.0,2024 11 10T08:53:24.000Z,EZZOUAR,BON TAT,LATITUDE,,12TH GEN INTEL CORE I5 1235U,16GB,256GB,,14.0,,1920x1080,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8185,92000.0,2024 10 20T08:10:47.000Z,EZZOUAR,BON TAT,LATITUDE,,12TH GEN INTEL CORE I5 1235U,16GB,256GB,,14.0,,,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
8186,92000.0,2024 10 31T10:25:23.000Z,EZZOUAR,BON TAT,LATITUDE,,12TH GEN INTEL CORE I5 1235U,16GB,256GB,,14.0,,,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy
