id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,mapped_cpu_name,match_score,cores,cpu_mark,tdp,gpu_name,match_type,gpu_match_score,gpu_g3d_mark,gpu_g2d_mark,gpu_tdp,is_generic_cpu,cpu_generation,cpu_tier,mapped_cpu_tier,inference_level
1358,255000.0,2025 01 14T07:15:41.000Z,AIN NAADJA,JAMAIS UTILIS,NITRO,NVIDIA GEFORCE RTX 4060,12TH GEN INTEL CORE I9 12900H,32GB,512GB,,17.3,144Hz,1920x1080,DDR5,Intel Core i9-12900H,100.0,6.0,"26,927",45.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,12,i9,i9,
1359,255000.0,2025 07 25T11:07:50.000Z,KOUBA,,ZENBOOK,NVIDIA GEFORCE RTX 3060,12TH GEN INTEL CORE I7 12700H,16GB,1TB,,16.0,,,,Intel Core i7-12700H,100.0,6.0,"25,280",45.0,GeForce RTX 3060 12GB,fuzzy_tier_validated,100.0,"16,758",966,170.0,False,12,i7,i7,
1360,255000.0,2023 06 25T13:05:45.000Z,EZZOUAR,JAMAIS UTILIS,GALAXY,,12TH GEN INTEL CORE I7 1260P,16GB,512GB,,15.6,,1920x1080,LPDDR5,Intel Core i7-1260P,100.0,4.0,"16,583",28.0,Intel UHD Graphics 770,fuzzy_tier_validated,100.0,"5,967",567,230.0,False,12,i7,i7,
1361,255000.0,2025 07 31T15:57:47.000Z,ALGER CENTRE,BON TAT,ZENBOOK,,12TH GEN INTEL CORE I7 1250U,16GB,,,,,,,Intel Core i7-1250U,100.0,2.0,"11,288",9.0,Intel UHD Graphics 770,fuzzy_tier_validated,100.0,"5,967",567,230.0,False,12,i7,i7,
1362,254900.0,2025 01 07T11:04:13.000Z,ORAN,JAMAIS UTILIS,PROBOOK,NVIDIA GEFORCE RTX 2050,INTEL CORE ULTRA 7 155H,16GB,512GB,,16.0,,,,Intel Core Ultra 7 155H,100.0,6.0,"24,673",28.0,GeForce RTX 2050,fuzzy_tier_validated,100.0,"7,702",479,45.0,False,,ultra7,ultra7,
1363,254900.0,2025 03 09T14:11:12.000Z,ORAN,JAMAIS UTILIS,TUF,NVIDIA GEFORCE RTX 4060,13TH GEN INTEL CORE I7 13620H,16GB,512GB,,15.6,,,,Intel Core i7-13620H,100.0,6.0,"23,624",45.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,13,i7,i7,
1364,254000.0,2025 08 09T09:08:17.000Z,EZZOUAR,JAMAIS UTILIS,THINKPAD,NVIDIA GEFORCE RTX 4060,AMD RYZEN 7 7840HS,16GB,512GB,,15.6,144Hz,1920x1080 FHD,,AMD Ryzen 7 7840HS,100.0,8.0,"28,487",54.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,,ryzen7,ryzen7,
1365,253900.0,2025 08 10T11:01:59.000Z,HYDRA,JAMAIS UTILIS,PROBOOK,NVIDIA GEFORCE RTX 2050,INTEL CORE ULTRA 7 155H,16GB,512GB,,16.0,,1920x1200,DDR5,Intel Core Ultra 7 155H,100.0,6.0,"24,673",28.0,GeForce RTX 2050,fuzzy_tier_validated,100.0,"7,702",479,45.0,False,,ultra7,ultra7,
1366,253500.0,2025 03 22T20:38:13.000Z,CHLEF,,TUF,NVIDIA GEFORCE RTX 4060,INTEL CORE I7 12700H,16GB,1TB,,15.6,,1920x1080,DDR4,Intel Core i7-12700H,100.0,6.0,"25,280",45.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,12,i7,i7,
1367,253000.0,2025 07 03T09:34:17.000Z,EZZOUAR,JAMAIS UTILIS,NITRO,NVIDIA GEFORCE RTX 4060,INTEL CORE I7 13620H,,,,,,,,Intel Core i7-13620H,100.0,6.0,"23,624",45.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,13,i7,i7,
1368,253000.0,2025 06 15T10:03:12.000Z,EZZOUAR,JAMAIS UTILIS,NITRO,NVIDIA GEFORCE RTX 4060,INTEL CORE I7 13620H,16GB,512GB,,15.6,,,,Intel Core i7-13620H,100.0,6.0,"23,624",45.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,13,i7,i7,
1369,253000.0,2025 06 17T10:29:24.000Z,EZZOUAR,JAMAIS UTILIS,NITRO,NVIDIA GEFORCE RTX 4060,INTEL CORE I7 13620H,16GB,,,,,,,Intel Core i7-13620H,100.0,6.0,"23,624",45.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,13,i7,i7,
1370,253000.0,2025 07 01T10:31:43.000Z,EZZOUAR,JAMAIS UTILIS,NITRO,NVIDIA GEFORCE RTX 4060,INTEL CORE I7 13620H,16GB,,,,,,,Intel Core i7-13620H,100.0,6.0,"23,624",45.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,13,i7,i7,
