name,cpumark,tdp,cat,cores,gpu_name
Qualcomm Snapdragon X Elite - X1E-78-100,"22,695",23.0,Laptop,12,Adreno GPU
Qualcomm Snapdragon X Elite - X1E-80-100,"22,820",23.0,Laptop,12,Adreno GPU
Qualcomm Snapdragon X Elite - X1E-84-100,"24,809",23.0,Laptop,12,Adreno GPU
Qualcomm Snapdragon X Elite - X1E001DE,"31,863",23.0,Laptop,12,Adreno GPU
Qualcomm Snapdragon X Plus X1P-64-100,"21,417",23.0,Laptop,10,Adreno X1-85
Snapdragon X - X126100 - Qualcomm Oryon,"16,510",30.0,Laptop,8,Adreno GPU
Snapdragon X Plus - X1P42100 - Qualcomm Oryon,"18,112",30.0,Laptop,8,Adreno GPU
VIA C7-M 1200MHz,112,7.0,Laptop,1,VIA Chrome9
VIA C7-M 1600MHz,116,15.0,Laptop,1,VIA Chrome9
VIA C7-M 6300MHz,145,12.0,Laptop,1,VIA Chrome9
VIA Eden 1000MHz,80,5.0,Laptop,1,VIA Chrome9
VIA Eden 1200MHz,93,7.0,Laptop,1,VIA Chrome9
VIA Nano L2007@1600MHz,238,25.0,Laptop,1,VIA Chrome9
VIA Nano L2100@1800MHz,279,25.0,Laptop,1,VIA Chrome9
VIA Nano L2207@1600MHz,165,17.0,Laptop,1,VIA Chrome9
VIA Nano U2250 (1.6GHz Capable),187,8.0,Laptop,1,VIA Chrome9
VIA Nano U2250@1300+MHz,179,10.0,Laptop,1,VIA Chrome9
VIA Nano U2500@1200MHz,199,7.0,Laptop,1,VIA Chrome9
VIA Nano U3500@1000MHz,184,5.0,Laptop,1,VIA Chrome9
VIA Nano X2 U4025 @ 1.2 GHz,353,8.0,Laptop,2,VIA Chrome9
VIA QuadCore L4700 @ 1.2+ GHz,773,27.5,Laptop,4,VIA Chrome9
Intel Core2 Duo T7700 @ 2.40GHz,"3,497",35.0,Laptop,2,
