gpu_name,g3d_mark,g2d_mark,tdp(w)
GeForce GT 540M,473,91,32.0
GeForce GT 550M,558,116,32.0
GeForce GT 555M,647,110,30.0
GeForce GT 610,333,134,29.0
GeForce GT 620,391,158,30.0
GeForce GT 620M,431,128,15.0
GeForce GT 625,375,189,30.0
GeForce GT 625M,485,139,15.0
GeForce GT 630,686,242,50.0
GeForce GT 630M,520,151,33.0
GeForce GT 635M,536,170,35.0
GeForce GT 640,"1,167",299,65.0
GeForce GT 640M,887,204,32.0
GeForce GT 640M LE,698,171,32.0
GeForce GT 645M,944,167,32.0
GeForce GT 650M,"1,183",238,45.0
GeForce GT 705,370,163,29.0
GeForce GT 710,619,215,25.0
GeForce GT 720,660,225,19.0
GeForce GT 720M,439,119,50.0
GeForce GT 730,824,258,49.0
GeForce GT 730M,806,171,33.0
GeForce GT 735M,660,130,50.0
GeForce GT 740,"1,429",351,64.0
GeForce GT 740M,779,148,50.0
GeForce GT 745M,"1,082",177,45.0
GeForce GT 750M,"1,331",243,50.0
GeForce GT 755M,"1,720",334,50.0
GeForce GTS 150M,504,407,50.0
GeForce GTS 160M,679,308,60.0
GeForce GTS 240,515,91,120.0
GeForce GTS 250,567,50,150.0
GeForce GTS 250M,520,37,28.0
GeForce GTS 350M,381,69,28.0
GeForce GTS 360M,631,49,38.0
GeForce GTS 450,"1,340",328,106.0
GeForce GTX 1050,"5,044",458,75.0
GeForce GTX 1050 (Mobile),"4,463",292,75.0
GeForce GTX 1050 3GB,"5,111",605,75.0
GeForce GTX 1050 Ti,"6,355",655,75.0
GeForce GTX 1050 Ti (Mobile),"5,918",323,75.0
GeForce GTX 1050 Ti with Max-Q Design,"5,310",339,150.0
GeForce GTX 1050 with Max-Q Design,"3,921",277,150.0
GeForce GTX 1060,"10,059",743,120.0
GeForce GTX 1060 (Mobile),"8,160",444,80.0
GeForce GTX 1060 3GB,"9,827",774,120.0
GeForce GTX 1060 5GB,"9,206",636,120.0
GeForce GTX 1060 with Max-Q Design,"7,835",398,80.0
GeForce GTX 1070,"13,511",847,150.0
GeForce GTX 1070 (Mobile),"10,465",603,75.0
GeForce GTX 1070 Ti,"14,660",877,180.0
GeForce GTX 1070 with Max-Q Design,"9,765",413,90.0
GeForce GTX 1080,"15,614",888,180.0
GeForce GTX 1080 Ti,"18,594",940,250.0
GeForce GTX 1080 with Max-Q Design,"11,604",721,110.0
GeForce GTX 1630,"4,995",658,75.0
GeForce GTX 1650,"7,871",554,75.0
GeForce GTX 1650 (Mobile),"6,968",384,50.0
GeForce GTX 1650 SUPER,"10,187",749,100.0
GeForce GTX 1650 Ti,"7,525",373,55.0
GeForce GTX 1650 Ti with Max-Q Design,"6,592",334,35.0
GeForce GTX 1650 with Max-Q Design,"6,334",333,35.0
GeForce GTX 1660,"11,626",777,120.0
GeForce GTX 1660 SUPER,"12,688",807,125.0
GeForce GTX 1660 Ti,"12,698",784,120.0
GeForce GTX 1660 Ti (Mobile),"10,103",473,80.0
GeForce GTX 1660 Ti with Max-Q Design,"8,611",357,60.0
GeForce GTX 260,"1,201",47,202.0
GeForce GTX 260M,382,38,65.0
GeForce GTX 275,"1,352",54,219.0
GeForce GTX 280,"1,285",56,236.0
GeForce GTX 280M,576,153,75.0
GeForce GTX 285,"1,475",66,204.0
GeForce GTX 285M,584,106,75.0
GeForce GTX 295,"1,220",71,289.0
GeForce GTX 460,"2,271",397,150.0
GeForce GTX 460 SE,"1,992",377,150.0
GeForce GTX 460 v2,"2,074",408,160.0
GeForce GTX 460M,"1,221",257,50.0
GeForce GTX 465,"2,656",464,200.0
GeForce GTX 470,"3,160",411,215.0
GeForce GTX 470M,"1,953",413,50.0
GeForce GTX 480,"4,079",432,250.0
GeForce GTX 480M,"1,653",430,100.0
GeForce GTX 485M,"2,360",479,100.0
GeForce GTX 550 Ti,"1,554",386,116.0
GeForce GTX 555,"1,604",441,150.0
GeForce GTX 560,"2,777",432,150.0
GeForce GTX 560 SE,"1,847",482,150.0
GeForce GTX 560 Ti,"3,077",440,170.0
GeForce GTX 560M,"1,284",271,75.0
GeForce GTX 570,"3,930",477,219.0
GeForce GTX 570M,"1,862",363,75.0
GeForce GTX 580,"4,632",489,244.0
GeForce GTX 580M,"1,772",321,100.0
GeForce GTX 590,"3,341",394,365.0
GeForce GTX 645,"1,876",427,64.0
GeForce GTX 650,"1,758",377,64.0
GeForce GTX 650 Ti,"2,529",419,110.0
GeForce GTX 650 Ti BOOST,"3,408",474,134.0
GeForce GTX 660,"4,043",492,140.0
GeForce GTX 660 Ti,"4,418",475,150.0
GeForce GTX 660M,"1,454",275,50.0
GeForce GTX 670,"5,361",539,170.0
GeForce GTX 670M,"1,720",310,75.0
GeForce GTX 670MX,"1,978",333,75.0
GeForce GTX 675M,"1,855",277,100.0
GeForce GTX 675MX,"3,021",384,100.0
GeForce GTX 680,"5,609",533,195.0
GeForce GTX 680M,"3,277",354,100.0
GeForce GTX 680MX,"3,799",458,122.0
GeForce GTX 690,"5,536",490,300.0
GeForce GTX 745,"2,121",480,55.0
GeForce GTX 750,"3,311",521,55.0
GeForce GTX 750 Ti,"3,902",532,60.0
GeForce GTX 760,"4,817",538,170.0
GeForce GTX 760 Ti,"5,307",548,170.0
GeForce GTX 760M,"1,730",231,55.0
GeForce GTX 765M,"2,008",284,65.0
GeForce GTX 770,"5,967",567,230.0
GeForce GTX 770M,"2,781",336,75.0
GeForce GTX 780,"7,950",589,250.0
GeForce GTX 780 Ti,"9,466",632,250.0
GeForce GTX 780M,"3,866",422,122.0
GeForce GTX 850M,"2,538",228,40.0
GeForce GTX 860M,"3,096",229,45.0
GeForce GTX 870M,"3,541",280,110.0
GeForce GTX 880M,"3,841",334,130.0
GeForce GTX 950,"5,356",651,90.0
GeForce GTX 950M,"2,572",216,75.0
GeForce GTX 960,"6,135",676,120.0
GeForce GTX 960M,"3,370",244,65.0
GeForce GTX 965M,"3,879",353,60.0
GeForce GTX 970,"9,637",763,145.0
GeForce GTX 970M,"5,706",375,75.0
GeForce GTX 980,"11,071",790,165.0
GeForce GTX 980 Ti,"13,689",851,250.0
GeForce GTX 980M,"7,371",494,100.0
GeForce GTX Titan,"8,189",663,250.0
GeForce GTX TITAN Black,"9,192",606,250.0
GeForce GTX TITAN X,"12,570",815,250.0
GeForce GTX TITAN Z,"8,897",623,375.0
GeForce MX150,"2,256",212,25.0
GeForce MX230,"1,823",213,10.0
GeForce MX250,"2,376",238,25.0
GeForce PCX 5300,6,197,50.0
GeForce PCX 5750,35,310,50.0
GeForce PCX 5900,34,258,75.0
GeForce RTX 2050,"7,702",479,45.0
GeForce RTX 2060,"14,109",745,160.0
GeForce RTX 2060 (Mobile),"11,353",540,80.0
GeForce RTX 2060 12GB,"15,929",852,185.0
GeForce RTX 2060 SUPER,"16,487",857,175.0
GeForce RTX 2060 with Max-Q Design,"9,646",403,65.0
GeForce RTX 2070,"16,064",817,175.0
GeForce RTX 2070 (Mobile),"12,357",602,115.0
GeForce RTX 2070 SUPER,"18,149",878,215.0
GeForce RTX 2070 Super with Max-Q Design,"13,409",596,80.0
GeForce RTX 2070 with Max-Q Design,"11,396",456,80.0
GeForce RTX 2080,"18,648",902,250.0
GeForce RTX 2080 (Mobile),"15,014",804,150.0
GeForce RTX 2080 SUPER,"19,461",919,250.0
GeForce RTX 2080 Super with Max-Q Design,"13,519",562,80.0
GeForce RTX 2080 Ti,"21,495",928,250.0
GeForce RTX 2080 with Max-Q Design,"12,708",505,90.0
GeForce RTX 3050 4GB Laptop GPU,"9,499",490,75.0
GeForce RTX 3050 6GB,"10,756",882,70.0
GeForce RTX 3050 6GB Laptop GPU,"10,119",564,80.0
GeForce RTX 3050 8GB,"12,510",917,130.0
GeForce RTX 3050 A Laptop GPU,"11,015",566,35.0
GeForce RTX 3050 OEM,"11,911",985,130.0
GeForce RTX 3050 Ti Laptop GPU,"10,091",498,80.0
GeForce RTX 3060 12GB,"16,758",966,170.0
GeForce RTX 3060 8GB,"15,244",975,170.0
GeForce RTX 3060 Laptop GPU,"13,161",586,115.0
GeForce RTX 3060 Ti,"20,291",990,200.0
GeForce RTX 3070,"22,150","1,004",220.0
GeForce RTX 3070 Laptop GPU,"15,145",632,115.0
GeForce RTX 3070 Ti,"23,291","1,062",290.0
GeForce RTX 3070 Ti Laptop GPU,"17,539",775,115.0
GeForce RTX 3080,"25,042","1,062",320.0
GeForce RTX 3080 12GB,"26,577","1,094",350.0
GeForce RTX 3080 Laptop GPU,"16,188",632,115.0
GeForce RTX 3080 Ti,"26,798","1,094",350.0
GeForce RTX 3080 Ti Laptop GPU,"18,994",817,115.0
GeForce RTX 3090,"26,576","1,069",350.0
GeForce RTX 3090 Ti,"29,355","1,228",450.0
GeForce RTX 4050 Laptop GPU,"14,335",630,115.0
GeForce RTX 4060,"19,538","1,040",115.0
GeForce RTX 4060 Laptop GPU,"17,403",731,115.0
GeForce RTX 4060 Ti,"22,621","1,097",160.0
GeForce RTX 4060 Ti 16GB,"22,702","1,081",165.0
GeForce RTX 4070,"26,912","1,168",200.0
GeForce RTX 4070 Laptop GPU,"19,548",767,115.0
GeForce RTX 4070 SUPER,"29,959","1,192",220.0
GeForce RTX 4070 Ti,"31,578","1,207",285.0
GeForce RTX 4070 Ti SUPER,"31,815","1,240",285.0
GeForce RTX 4080,"34,449","1,249",320.0
GeForce RTX 4080 Laptop GPU,"24,783",925,150.0
GeForce RTX 4080 SUPER,"34,230","1,276",320.0
GeForce RTX 4090,"38,098","1,303",450.0
GeForce RTX 4090 Laptop GPU,"27,068",987,150.0
GeForce RTX 5050 Laptop GPU,"14,503",762,100.0
GeForce RTX 5060,"20,794","1,168",170.0
GeForce RTX 5060 Laptop GPU,"17,078",857,100.0
GeForce RTX 5060 Ti 16GB,"22,701","1,215",180.0
GeForce RTX 5060 Ti 8GB,"22,521","1,218",180.0
GeForce RTX 5070,"28,808","1,305",250.0
GeForce RTX 5070 Laptop GPU,"19,381",886,100.0
GeForce RTX 5070 Ti,"32,463","1,333",300.0
GeForce RTX 5070 Ti Laptop GPU,"22,900",977,115.0
GeForce RTX 5080,"35,772","1,411",360.0
GeForce RTX 5080 Laptop GPU,"26,529","1,090",150.0
GeForce RTX 5090,"38,863","1,412",575.0
GeForce RTX 5090 D,"41,208","1,377",575.0
